brand,price,sales,feat
tropicana,3.87,8255.99999982379,0
tropicana,3.87,6143.99999983099,0
tropicana,3.87,3840.00000007,0
tropicana,3.87,8000.00000030421,0
tropicana,3.87,8896.00000008573,0
tropicana,3.87,7168.00000032424,0
tropicana,3.29,10879.9999998919,0
tropicana,3.29,7744.00000033754,0
tropicana,3.29,8512.0000001581,0
tropicana,3.29,5503.99999992746,0
tropicana,3.56,5887.9999999487,0
tropicana,3.56,8384.00000032845,0
tropicana,3.56,5951.99999992306,0
tropicana,3.56,6847.99999985223,0
tropicana,3.87,9215.99999967124,0
tropicana,2.99,12159.9999997549,0
tropicana,2.99,12672.0000005803,0
tropicana,3.59,6527.99999971314,0
tropicana,3.59,6143.99999983099,0
tropicana,2.39,21119.9999995734,0
tropicana,2.39,12415.9999997144,0
tropicana,3.59,9471.99999977469,0
tropicana,2.59,17919.9999994817,0
tropicana,2.59,9407.99999963866,0
tropicana,3.59,6271.99999981031,0
tropicana,3.59,6912.00000011134,0
tropicana,2.49,16767.9999996517,0
tropicana,3.59,6271.99999981031,0
tropicana,3.59,7936.00000028007,0
tropicana,3.59,6143.99999983099,0
tropicana,3.59,7936.00000028007,0
tropicana,3.59,7808.00000005521,0
tropicana,3.59,6080.00000024191,0
tropicana,1.69,42176.0000058127,1
tropicana,3.59,4927.99999993418,0
tropicana,1.99,29503.9999894871,1
tropicana,3.59,9983.99999990806,0
tropicana,1.99,35200.0000145662,1
tropicana,1.99,23936.0000054047,0
tropicana,3.59,7104.00000019887,0
tropicana,2.29,24512.0000112677,1
tropicana,3.59,6336.00000003636,0
tropicana,3.59,6080.00000024191,0
tropicana,1.99,33536.0000107076,0
tropicana,1.99,13247.9999996683,0
tropicana,3.59,6208.00000022936,0
tropicana,3.59,10623.9999998277,0
tropicana,1.99,44671.999994548,0
tropicana,1.99,20096.0000006446,0
tropicana,3.59,9151.99999982081,1
tropicana,2.19,21951.9999994378,0
tropicana,2.19,13567.9999995701,0
tropicana,3.59,4160.00000018591,0
tropicana,1.99,39424.0000042108,1
tropicana,3.59,5631.99999978667,0
tropicana,2.68,9023.99999965854,1
tropicana,3.44,6015.99999982147,0
tropicana,3.14,7744.00000033754,0
tropicana,3.07,6784.00000019172,0
tropicana,3.07,6784.00000019172,0
tropicana,3.07,6271.99999981031,0
tropicana,3.07,5312.00000023229,0
tropicana,3.11,9215.99999967124,0
tropicana,3.19,7296.0000003344,0
tropicana,1.99,34239.9999912456,1
tropicana,2.64,7168.00000032424,0
tropicana,3.19,6080.00000024191,0
tropicana,3.19,5119.99999982821,0
tropicana,2.74,8319.99999987309,0
tropicana,2.39,17727.9999991666,0
tropicana,2.35,13120.0000000252,0
tropicana,2.29,13120.0000000252,0
tropicana,2.43,9792.00000046896,0
tropicana,3.19,3520.00000002766,0
tropicana,3.19,5503.99999992746,0
tropicana,3.19,6719.99999988444,0
tropicana,1.99,20223.9999990579,1
tropicana,3.19,5055.99999986504,0
tropicana,1.99,43584.0000213917,1
tropicana,1.79,25728.0000005482,0
tropicana,1.79,31807.999985486,0
tropicana,1.91,20736.0000009953,0
tropicana,2.81,15168.0000000788,0
tropicana,2.5,28095.9999877827,1
tropicana,2.58,12415.9999997144,0
tropicana,3.19,5375.99999998395,0
tropicana,2.67,9792.00000046896,0
tropicana,2.39,16959.9999992216,1
tropicana,3.19,8319.99999987309,0
tropicana,3.19,6912.00000011134,0
tropicana,3.19,6976.00000007802,0
tropicana,3.19,7232.0000002024,0
tropicana,2.49,51520.0000114254,1
tropicana,2.21,22271.9999970123,0
tropicana,1.99,46144.0000163986,1
tropicana,3.19,4351.9999998443,1
tropicana,2.69,17280.000000725,0
tropicana,3.19,5696.00000004664,0
tropicana,3.19,6847.99999985223,0
tropicana,3.19,4416.00000019019,0
tropicana,3.16,4671.99999996233,0
tropicana,3.09,7168.00000032424,1
tropicana,3.19,5055.99999986504,0
tropicana,2.79,13375.9999996725,1
tropicana,2.75,8127.99999985156,0
